item_name,pic,class_1,class_2,class_3,price,spec,made_in,unit,url
五木經濟雞蛋麵,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200039982_1_26390.jpg,食品雜貨,麵條‧米粉‧冬粉,一般麵條,139,2000g/包,台灣,1/包,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200039982
得意的一天單元葵花油,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200105961_1_168890.jpg,食品雜貨,食用油,橄欖油‧葵花油,202,2.5L/瓶,台灣,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200105961
義大利PONTI蘋果醋,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200073164_1_113363.jpg,進口商品,義大利,調味料．醋,89,500ml/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200073164
Auchan蕃茄義大利麵醬 420g,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200072940_1_112660.jpg,進口商品,義大利,調味料．醋,69,420GR/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200072940
Heinz亨氏番茄醬,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200210126_1_367685.jpg,食品雜貨,調味一系列,沙拉醬‧番茄醬‧味增,52,397g/瓶,美國,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200210126
Auchan 義大利長條鋸齒麵,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200029032_1_1667.jpg,食品雜貨,麵條‧米粉‧冬粉,義大利麵,79,500g,義大利,1/包,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200029032
義大利有機冷壓亞麻籽油,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200119952_1_190404.jpg,食品雜貨,食用油,橄欖油‧葵花油,139,250ml/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200119952
天仁台灣茶品精選禮盒 250g,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200107804_1_172128.jpg,食品雜貨,禮盒區,雞精‧咖啡‧茶禮盒,558,高山烏龍100g/精培烏龍100g/美人,台灣,1/盒,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200107804
Auchan義大利番茄泥,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200072436_1_112618.jpg,食品雜貨,調味一系列,拌麵醬‧義大利麵醬,49,680g/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200072436
天仁竹茗雅沏禮,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200214472_1_387990.jpg,食品雜貨,禮盒區,雞精‧咖啡‧茶禮盒,715,375g/盒,台灣,1/盒,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200214472
天仁御露茶賞禮,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200153672_1_280748.jpg,食品雜貨,禮盒區,雞精‧咖啡‧茶禮盒,569,200g/盒,台灣,1/盒,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200153672
Auchan義式加乃隆麵捲,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200128882_1_210268.jpg,食品雜貨,麵條‧米粉‧冬粉,義大利麵,69,250g,義大利,1/包,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200128882
Auchan義大利蚯蚓麵,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200128854_1_210264.jpg,食品雜貨,麵條‧米粉‧冬粉,義大利麵,89,500g,義大利,1/包,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200128854
Auchan義大利小貝殼麵,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200128840_1_210262.jpg,食品雜貨,麵條‧米粉‧冬粉,義大利麵,89,500g,義大利,1/包,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200128840
義大利De Cecco大蝴蝶結麵,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200072849_1_112578.jpg,食品雜貨,麵條‧米粉‧冬粉,義大利麵,79,500g,義大利,1/包,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200072849
FP白木耳,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200109174_1_193207.jpg,食品雜貨,南北雜貨,香菇.木耳.香辛料滷包,86,100g/包,中國大陸,1/包,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200109174
華陀十全雞精 70公克X12罐,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200043486_1_35102.jpg,食品雜貨,保健食品,雞精‧蜆精‧機能營養補給,349,,台灣,1/組,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200043486
