class_1	class_2	class_3
3C	手機‧配件‧數位裝置	手機
3C	手機‧配件‧數位裝置	手機配件
3C	手機‧配件‧數位裝置	穿戴裝置/智能配件
3C	手機‧配件‧數位裝置	家用電話
3C	手機‧配件‧數位裝置	儲值卡
3C	行動電源‧影音配件	MP3‧MP4‧數位相框
3C	行動電源‧影音配件	耳機‧藍芽
3C	行動電源‧影音配件	行動電源
3C	行動電源‧影音配件	喇叭‧音響
3C	相機‧單眼‧攝影機	防潮設備
3C	相機‧單眼‧攝影機	記憶卡‧讀卡機
3C	相機‧單眼‧攝影機	數位相機‧配件
3C	相機‧單眼‧攝影機	數位單眼相機‧配件
3C	資訊設備/周邊	打卡機
3C	資訊設備/周邊	計算機
3C	資訊設備/周邊	碎紙機
3C	資訊設備/周邊	護貝機
3C	遊樂器‧軟體	遊戲片‧遊戲軟體
3C	遊樂器‧軟體	電子遊樂器
3C	電腦‧螢幕‧週邊	平板電腦
3C	電腦‧螢幕‧週邊	光碟片
3C	電腦‧螢幕‧週邊	印表機‧紙張
3C	電腦‧螢幕‧週邊	桌上型電腦
3C	電腦‧螢幕‧週邊	液晶螢幕
3C	電腦‧螢幕‧週邊	筆記型電腦
3C	電腦‧螢幕‧週邊	電腦周邊
3C	電腦‧螢幕‧週邊	墨水‧碳粉
3C	電腦‧螢幕‧週邊	隨身碟‧外接硬碟
3C	導航‧行車用品	車用周邊商品
3C	導航‧行車用品	導航‧行車紀錄器
戶外休閒	汽機車用品	口罩‧手套‧安全帽
戶外休閒	汽機車用品	汽車用品
戶外休閒	汽機車用品	汽車保養清潔
戶外休閒	汽機車用品	汽車機油‧添加劑
戶外休閒	汽機車用品	雨衣‧鞋套
戶外休閒	汽機車用品	雨刷
戶外休閒	汽機車用品	機車‧電動車
戶外休閒	汽機車用品	機車用品
戶外休閒	汽機車用品	機車機油‧添加劑
戶外休閒	玩具‧戶外用品	戶外玩具
戶外休閒	玩具‧戶外用品	水上活動‧釣具
戶外休閒	玩具‧戶外用品	兒童玩具
戶外休閒	玩具‧戶外用品	益智玩具
戶外休閒	玩具‧戶外用品	嬰幼兒玩具
戶外休閒	烤肉用具	烤肉用具
戶外休閒	烤肉用具	烤肉架
戶外休閒	園藝‧戶外傢具	培養土‧肥料‧種苗
戶外休閒	園藝‧戶外傢具	園藝用品‧器具
戶外休閒	運動‧腳踏車	健身‧護具
戶外休閒	運動‧腳踏車	國產腳踏車
戶外休閒	運動‧腳踏車	球類
戶外休閒	運動‧腳踏車	滑輪‧滑板
戶外休閒	運動‧腳踏車	腳踏車配件
戶外休閒	露營‧旅行用品	行李箱
戶外休閒	露營‧旅行用品	背包
戶外休閒	露營‧旅行用品	暖暖包
戶外休閒	露營‧旅行用品	露營‧野餐用品
方便料理	抹醬‧奶油‧起士	奶油‧煉乳‧巧克力醬
方便料理	抹醬‧奶油‧起士	抹醬‧果醬‧花生醬
方便料理	泡麵‧速食粥/湯	 速食粥‧湯
方便料理	泡麵‧速食粥/湯	包裝麵
方便料理	泡麵‧速食粥/湯	成箱麵
方便料理	泡麵‧速食粥/湯	杯麵‧點心麵
方便料理	泡麵‧速食粥/湯	碗裝麵‧桶麵
方便料理	調理包	調理包
方便料理	罐頭‧醬菜‧濃湯	水果罐頭
方便料理	罐頭‧醬菜‧濃湯	水產罐頭
方便料理	罐頭‧醬菜‧濃湯	肉鬆‧魚鬆‧香鬆
方便料理	罐頭‧醬菜‧濃湯	泡菜‧玉米
方便料理	罐頭‧醬菜‧濃湯	海苔醬‧豆腐乳‧肉醬
方便料理	罐頭‧醬菜‧濃湯	高湯‧濃湯
方便料理	罐頭‧醬菜‧濃湯	醬菜‧醬瓜‧麵筋
生活百貨	DIY‧衛浴	小五金
生活百貨	DIY‧衛浴	手工具‧油漆
生活百貨	DIY‧衛浴	沐浴配件
生活百貨	DIY‧衛浴	洗衣‧曬衣用具
生活百貨	DIY‧衛浴	衛浴五金
生活百貨	DIY‧衛浴	整理箱‧收納儲藏
生活百貨	文具	白板筆‧麥克筆‧螢光筆
生活百貨	文具	其他文具‧卡片
生活百貨	文具	便條紙‧收據‧標籤紙
生活百貨	文具	美工刀‧訂書針‧剪刀
生活百貨	文具	修正液‧修正帶‧橡皮擦
生活百貨	文具	原子筆‧鋼珠筆‧筆蕊
生活百貨	文具	書包
生活百貨	文具	迴紋針‧長尾夾
生活百貨	文具	彩繪筆‧美術紙‧書法
生活百貨	文具	筆記本‧信封‧便條紙
生活百貨	文具	節慶用品‧紅包袋‧春聯
生活百貨	文具	鉛筆‧筆蕊
生活百貨	文具	影印紙‧傳真紙
生活百貨	文具	膠帶‧膠水‧瞬間膠
生活百貨	文具	檔案夾‧文件套
生活百貨	書‧雜誌	 童書‧貼紙拼圖‧漫畫
生活百貨	書‧雜誌	小說‧散文‧傳記‧勵志
生活百貨	書‧雜誌	工具書
生活百貨	書‧雜誌	旅遊‧食譜‧保健‧命理
生活百貨	書‧雜誌	財經‧企管‧職場進修
生活百貨	祭祀拜拜	供品
生活百貨	祭祀拜拜	金紙‧香
生活百貨	祭祀拜拜	香
生活百貨	祭祀拜拜	蠟燭‧金爐
生活百貨	腳踏車‧玩具‧戶外用品	小小兵
